,ID,DPA,Sentence,Requirement-1,Requirement-2,Requirement-3,dataset_type,target
11251,2,Online 1,"This Data Processing Addendum (“DPA”) supplements the processor controller Agreement available at as updated from time to time between controller and processor, or other agreement between controller and processor governing controller’s use of the Service Offerings (the “Agreement”) when the GDPR applies to your use of the processor Services to process controller Data.",other,other,other,train,other
11252,3,Online 1,"This DPA is an agreement between you and the entity you represent (“controller”, “you” or “your”) and the applicable Amazon Web Services contracting entity under the Agreement (“processor”).",other,other,other,train,other
11253,4,Online 1,"Unless otherwise defined in this DPA or in the Agreement, all capitalised terms used in this DPA will have the meanings given to them in Section 17 of this DPA.",other,other,other,train,other
11254,7,Online 1,This DPA applies when controller Data is processed by processor.,other,other,other,train,other
11255,8,Online 1,"In this context, processor will act as “processor” to controller who may act either as “controller” or “processor” with respect to controller Data (as each term is defined in the GDPR).",other,other,other,train,other
11256,10,Online 1,"The Services provide controller with a number of controls, including security features and functionalities, that controller may use to retrieve, correct, delete or restrict controller Data as described in the Documentation.",other,other,other,train,other
11257,11,Online 1,"Without prejudice to Section 5.1, controller may use these controls as technical and organisational measures to assist it in connection with its obligations under the GDPR, including its obligations relating to responding to requests from data subjects.",other,other,other,train,other
11258,14,Online 1,The subject matter of the data processing under this DPA is controller Data.,other,other,other,train,other
11259,16,Online 1,"As between processor and controller, the duration of the data processing under this DPA is determined by controller.",R3,other,other,train,R3
11260,18,Online 1,The purpose of the data processing under this DPA is the provision of the Services initiated by controller from time to time.,R4,other,other,train,R4
11261,19,Online 1,"Nature of the processing: Compute, storage and such other Services as described in the Documentation and initiated by controller from time to time.",R4,other,other,train,R4
11262,20,Online 1,Type of controller Data: controller Data uploaded to the Services under controller’s processor accounts.,R5,other,other,train,R5
11263,21,Online 1,"Categories of data subjects: The data subjects may include controller’s controllers, employees, suppliers and end-users.",R6,other,other,train,R6
11264,23,Online 1,"Each party will comply with all lprocessor, rules and regulations applicable to it and binding on it in the performance of this DPA, including the GDPR.",other,other,other,train,other
11265,25,Online 1,The parties agree that this DPA and the Agreement (including the provision of instructions via configuration tools such as the processor management console and APIs made available by processor for the Services) constitute controller’s documented instructions regarding processor’s processing of controller Data (“Documented Instructions”).,other,other,other,train,other
11266,26,Online 1,processor will process controller Data only in accordance with Documented Instructions.,R12,other,other,train,R12
11267,27,Online 1,Additional instructions outside the scope of the Documented Instructions (if any) require prior written agreement between processor,other,other,other,train,other
11268,28,Online 1,"and controller, including agreement on any additional fees payable by controller to processor for carrying out such instructions.",other,other,other,train,other
11269,29,Online 1,"controller is entitled to terminate this DPA and the Agreement if processor declines to follow instructions requested by controller that are outside the scope of, or changed from, those given or agreed to be given in this DPA.",R38,other,other,train,R38
11270,31,Online 1,"processor will not access or use, or disclose to any third party, any controller Data, except, in each case, as necessary to maintain or provide the Services, or as necessary to comply with the law or a valid and binding order of a governmental body (such as a subpoena or court order).",other,other,other,train,other
11271,32,Online 1,"If a governmental body sends processor a demand for controller Data, processor will attempt to redirect the governmental body to request that data directly from controller.",other,other,other,train,other
11272,33,Online 1,"As part of this effort, processor may provide controller’s basic contact information to the governmental body.",other,other,other,train,other
11273,34,Online 1,"If compelled to disclose controller Data to a governmental body, then processor will give controller reasonable notice of the demand to allow controller to seek a protective order or other appropriate remedy unless processor is legally prohibited from doing so.",other,other,other,train,other
11274,35,Online 1,"If the Standard Contractual Clauses apply, nothing in this Section 3 varies or modifies the Standard Contractual Clauses.",other,other,other,train,other
